,query,rel,docid
453,Distributed Systems,3,2169005475
958,Digital Forensics,4,2536999591
348,Database Systems,2,2115320410
2038,Workflow Management,2,3004110139
1141,Content Delivery Networks,3,2014446369
1382,Gesture Recognition,3,1568156700
983,Advanced Algorithms,4,2801158513
2042,Workflow Management,2,2126187992
422,Parallel Computing,1,2917426586
1202,Database Management Systems,5,2115162501
1764,Scientific Computing,2,2126256127
708,Business Intelligence,3,2554383465
945,Grid Computing,1,2120371313
297,Distributed Systems,1,1832857872
1142,Content Delivery Networks,3,2056518070
294,Software Engineering,4,1590667944
1575,Location-Based Services,1,1532761024
611,Ubiquitous Computing,1,1495746971
879,Ubiquitous Computing,5,2154405519
459,Distributed Systems,2,2172085742
755,Computational Finance,3,2060604855
396,Network Security,1,2032591599
787,Generative AI,2,2120738518
11,Natural Language Processing,2,1970161214
1624,Network Management,3,2115327632
351,Database Systems,2,2189498447
339,Database Systems,3,3005062405
472,Distributed Systems,1,2065164788
121,Cryptography,3,1972913305
1622,Network Management,4,2026591769
141,Virtual Reality,2,2148099808
915,Ubiquitous Computing,1,2296370947
448,Operating Systems,5,2106887953
872,Web Development Technologies,1,1807996340
540,E-commerce Technology,4,2140590715
1935,User Interface Design,1,2163253664
1351,Enterprise Resource Planning,1,1589466563
135,Virtual Reality,4,2051120938
11,Information Retrieval,4,2062270497
813,Embedded Systems,2,2149209089
1287,Visual Analytics,5,2153940791
999,Knowledge Discovery,3,1574180199
1236,Database Management Systems,2,2112215401
1367,Gesture Recognition,5,2094645604
740,Compiler Design,2,2096642015
943,Graph Algorithms,2,2169658931
1530,Knowledge Discovery,3,2033531685
1784,Sensor Networks,4,2999035259
344,Database Systems,3,2997129865
651,Computer Architecture,3,1982982574
509,Mobile Computing,1,2027074722
1595,Mobile Application Development,5,2088270832
1047,Autonomous Systems,1,2724905206
759,Computational Finance,2,1964737311
1007,API Design,4,2732233446
607,Reinforcement Learning,5,2550182557
101,Human-Computer Interaction,3,2998056315
758,High-Performance Computing,5,2338973660
1842,Software Testing,4,2125831829
1522,Knowledge Discovery,4,1992832970
1187,Sensor Networks,1,2053890848
1756,Risk Management Systems,2,2205836349
1359,Evolutionary Computation,4,2108044931
376,Computational Biology,3,2020152253
335,Database Systems,3,3000035152
1412,Graph Algorithms,4,3004020344
597,Neural Networks,1,1999183681
1917,Text Analytics,1,2144795048
712,Business Intelligence,1,1591742622
545,Game Development,5,2053692450
403,Parallel Computing,5,3005430470
803,Data Structures,2,1507902915
1689,Online Learning Environments,2,2166730218
305,Software Engineering,2,2036983256
859,Web Development Technologies,4,1986033379
80,Computer Vision,3,2146623049
1034,Location-Based Services,1,2160281081
1974,Visual Analytics,3,2073156145
70,Data Mining,2,2110673691
436,Distributed Systems,4,1541758250
2049,XML Technologies,5,2164688050
381,Network Security,4,3001034520
359,Game Development,3,2051504023
48,Data Mining,1,1493647235
551,Game Development,5,2100002265
1818,Software Quality Assurance,5,3003636380
745,Compiler Design,2,2133078048
1126,Content Delivery Networks,5,2141594129
2056,XML Technologies,3,1988774321
1666,Object-Oriented Programming,2,2083433145
304,Software Engineering,2,2126430355
1030,Autonomous Systems,4,2014791394
232,Bioinformatics,2,2041971688
802,Embedded Systems,3,2145930857
175,Internet of Things,1,2155908598
937,Grid Computing,3,2019447492
612,Reinforcement Learning,3,3003931103
417,Data Structures,1,1843718812
5,Natural Language Processing,3,1984708705
587,Neural Networks,5,2005374071
1082,Cloud Data Management,3,2122695644
1110,Computational Finance,4,2965483509
431,Semantic Web,1,1514949230
224,Robotics,2,2140557073
616,Reinforcement Learning,2,2117629901
753,Compiler Design,1,2030934436
1332,Enterprise Resource Planning,3,2113222723
650,Computer Architecture,3,2165771766
571,Computational Biology,5,2771169143
343,Database Systems,3,2169486917
666,Operating Systems,4,1992246527
597,Ubiquitous Computing,2,1515685044
1678,Object-Oriented Programming,1,2010977939
64,Data Mining,3,3004786405
643,Computer Architecture,3,2106188359
813,Data Structures,1,2044931094
234,Bioinformatics,2,1971676632
313,Mobile Computing,3,2020721196
968,Digital Forensics,1,2799386263
855,Web Development Technologies,4,3003749699
1009,API Design,4,3005169261
1231,System Integration,5,1966045096
863,Web Development Technologies,2,2123418328
906,Ubiquitous Computing,2,1582026409
185,Cloud Computing,3,2053554902
1427,Graph Algorithms,2,3005926783
578,Computational Biology,3,2100563036
980,E-learning Technologies,1,2398229499
287,Software Engineering,4,2064945516
557,Game Development,4,2006420029
142,Robotics,5,2487788210
510,High-Performance Computing,1,2148143541
1226,Statistical Learning,1,1555563476
621,Grid Computing,4,1527303636
1716,Program Analysis,5,1529785310
2058,XML Technologies,3,1764674968
601,Ubiquitous Computing,2,1941240858
23,Information Retrieval,5,1994559819
1529,Knowledge Discovery,3,2078946160
484,Mobile Computing,4,2140274017
1407,Graph Algorithms,5,1597528919
421,Parallel Computing,1,2165156793
1471,Information Security,3,2157298821
982,IT Governance,3,2146489173
592,Neural Networks,3,2964212410
1684,Online Learning Environments,5,1927291718
1003,API Design,5,1989480206
97,Human-Computer Interaction,3,2170857744
996,Advanced Algorithms,1,2093083775
1793,Sensor Networks,3,2136399700
232,Database Systems,2,2176363081
962,Digital Forensics,3,2998448935
1345,Enterprise Resource Planning,2,2017393268
1598,Mobile Application Development,4,2135964798
1905,Text Analytics,5,2013723863
965,Digital Forensics,2,2942027462
302,Software Engineering,2,2169090130
2000,Web Services,2,2171104838
1934,User Interface Design,2,1995553331
372,Game Development,1,1539180249
825,Database Management Systems,4,2163231231
1739,Program Analysis,1,2493901872
1017,API Design,1,2269907743
1097,Object-Oriented Programming,2,1503889120
474,Mobile Computing,5,2116436884
192,Software Engineering,3,2141871659
819,Database Management Systems,5,1548186255
689,Autonomous Systems,5,2966798053
505,Mobile Computing,2,2104237724
88,Human-Computer Interaction,5,2112741432
1236,System Integration,4,1986451894
508,High-Performance Computing,1,2154683801
36,Semantic Web,2,1995496265
986,Advanced Algorithms,4,1602339818
1198,Data Structures,1,2154554979
1358,XML Technologies,5,2143447098
774,Content Delivery Networks,4,2288290758
420,Parallel Computing,1,2052259854
255,Algorithm Design,2,2157845424
1488,Information Security,2,1988456457
1309,Distributed Databases,1,2014104232
783,High-Performance Computing,1,2086036443
688,Autonomous Systems,5,2973189390
754,Compiler Design,1,2161862224
544,E-commerce Technology,3,2162836270
2064,XML Technologies,2,2073114375
340,Database Systems,3,2168976073
236,Bioinformatics,2,2130466489
1001,Knowledge Discovery,3,1524142117
1816,Software Quality Assurance,5,2026431993
1330,Web Services,1,2011562771
1175,Data Structures,4,2038230692
90,Cryptography,1,151792660
1324,Enterprise Resource Planning,4,1963773136
1199,Software Quality Assurance,1,2961895829
1654,Object-Oriented Programming,3,2997647753
37,Machine Learning,2,1996802155
1528,Knowledge Discovery,3,2999359785
216,Robotics,5,3008439419
1330,Enterprise Resource Planning,4,2005109948
1180,Data Structures,2,1490341282
1285,Visual Analytics,5,2097481508
531,Computer Graphics,3,2996911842
1117,Performance Engineering,3,2039237691
995,Advanced Algorithms,1,3005153256
1588,Machine Intelligence,4,2999975673
309,Software Engineering,2,4214443
322,Mobile Computing,2,2026880785
250,Algorithm Design,3,1869546201
949,Graph Algorithms,1,2045221772
628,Semantic Web,2,2516239182
455,Distributed Systems,2,1992479210
1722,Program Analysis,4,2003398205
15,Information Retrieval,3,1980036597
1044,Autonomous Systems,1,2883145010
645,Computer Architecture,3,2154790323
1325,Enterprise Resource Planning,4,2164366532
1408,Graph Algorithms,5,1504291959
1356,XML Technologies,5,2052680101
105,Augmented Reality,5,145587688
742,Compiler Design,2,2129924160
1292,Distributed Databases,3,1969721085
933,Grid Computing,4,3005349006
492,Mobile Computing,3,2025337985
121,Internet of Things,4,2037759417
131,Cloud Computing,5,2154797012
251,Algorithm Design,3,2075208090
1878,Supply Chain Management Systems,3,3005094736
742,Cloud Data Management,2,2560112808
1769,Scientific Computing,2,2112550993
1695,Online Learning Environments,1,2032200265
1232,Database Management Systems,2,2998721851
49,Artificial Intelligence,3,2917767525
655,Digital Forensics,2,1595964914
1112,Computational Finance,4,1970797868
1043,Autonomous Systems,1,2883145010
327,Database Systems,4,2126500482
1274,Distributed Databases,5,2887443683
648,Computer Architecture,3,2119156857
361,Game Development,2,2020763218
288,Software Engineering,4,2133933998
1983,Visual Analytics,1,1980362203
41,Data Mining,4,2159387069
1006,API Design,4,2087226776
502,High-Performance Computing,3,2412744095
1864,Statistical Learning,5,2149298154
481,Mobile Computing,5,2115223984
1085,Cloud Data Management,2,2057995409
933,Graph Algorithms,3,1480319318
435,Distributed Systems,4,2108026089
470,Distributed Systems,1,1987339920
586,Neural Networks,5,1798945469
34,Information Retrieval,3,2095368471
1416,Graph Algorithms,4,2135496605
1171,Search Engine Optimization,5,2112569317
1084,Cloud Data Management,3,2078965963
815,Embedded Systems,2,2103128566
728,Cloud Data Management,4,1989135185
1394,Gesture Recognition,2,1974622383
1387,Gesture Recognition,2,2162264926
1625,Network Management,3,2033048515
1872,Supply Chain Management Systems,4,2998754525
707,Business Intelligence,3,2528668861
1857,Software Testing,2,2105896632
1454,Information Security,5,2145819439
1280,Virtualization Technology,1,2074522595
382,Network Security,4,2144338762
611,Reinforcement Learning,3,1845972764
978,IT Governance,4,2158122566
1083,Object-Oriented Programming,4,1537618227
748,Compiler Design,2,2051292397
750,Complex Systems,3,2158316863
1562,Location-Based Services,3,1689932539
627,Semantic Web,2,1546306355
390,Network Security,2,1976716770
105,Human-Computer Interaction,2,2016540947
1329,Enterprise Resource Planning,4,2074697770
466,Wireless Communications,4,2100316242
1389,Gesture Recognition,2,2142310655
1139,Content Delivery Networks,3,1981807304
292,Software Engineering,4,2998140150
1278,Virtualization Technology,3,2882991030
817,Embedded Systems,2,1979486932
1114,Computational Finance,3,2999866509
1922,User Interface Design,4,1982849079
426,Semantic Web,1,1597431254
1275,Distributed Databases,5,2023195086
1347,Workflow Management,2,2145935793
622,Semantic Web,3,2139621016
357,Database Systems,1,2101346494
2063,XML Technologies,2,1990814325
411,Semantic Web,3,2100341807
386,Network Security,2,2132537021
1194,Data Structures,1,2140908857
2015,Workflow Management,5,2095628649
1368,Gesture Recognition,5,2120331170
1628,Network Management,3,3006488596
1089,Object-Oriented Programming,3,2095219277
1045,Mobile Application Development,5,1660873450
388,Deep Learning,1,2914019150
498,Mobile Computing,2,2041318031
993,Advanced Algorithms,1,2885816077
1418,Graph Algorithms,4,2009695707
41,Information Retrieval,2,2134557008
1057,Business Intelligence,2,2340139852
988,IT Governance,1,2060065100
1490,Information Security,2,2081657462
43,Information Retrieval,2,2072642151
305,Mobile Computing,4,1485678580
291,Distributed Systems,2,2088135026
1931,User Interface Design,3,2145125216
1964,Visual Analytics,4,2037133710
1438,Health Informatics,4,2000877753
700,Wireless Communications,4,1906224694
1456,Information Security,5,2024643361
638,Semantic Web,1,3004324217
1673,Object-Oriented Programming,1,1999862073
971,Digital Forensics,1,2110760901
850,Web Development Technologies,5,2047402336
182,Cloud Computing,5,2337969425
1182,Data Structures,2,3004522514
54,Computer Vision,2,2009086487
68,Data Mining,3,2118228485
927,Grid Computing,5,2158013263
1682,Online Learning Environments,5,2115420689
1179,Sensor Networks,4,1975964775
1128,Content Delivery Networks,5,2149707865
1467,Information Security,4,2088949480
1584,Machine Intelligence,5,2038489116
58,Data Mining,5,2153028052
1685,Online Learning Environments,5,2154540357
556,Game Development,4,2001147745
821,Embedded Systems,1,2114445889
1502,IT Governance,4,2083130569
1548,Location-Based Services,5,2019776461
1516,Knowledge Discovery,5,2174555378
1160,Content Delivery Networks,1,2092851923
875,Distributed Databases,1,2017666672
841,E-commerce Technology,3,2112445920
1006,Knowledge Discovery,2,1753402186
757,Computational Finance,2,2145923049
1310,Distributed Databases,1,2996965242
1305,Distributed Databases,2,2098534118
1506,IT Governance,3,23938314
879,Distributed Databases,1,2427525016
1481,Information Security,2,1993848086
1486,Information Security,2,3005865663
1045,Autonomous Systems,1,1971739774
1294,Distributed Databases,3,2111809002
440,Distributed Systems,4,2042851811
644,Computer Architecture,3,2012999152
1029,Autonomous Systems,4,2214916780
772,High-Performance Computing,3,2133422563
476,Mobile Computing,5,2295717447
325,Database Systems,4,2085601491
2016,Workflow Management,5,2078962046
1745,Quantitative Analysis,4,2012554344
304,Mobile Computing,5,1485678580
4,Natural Language Processing,4,2099671082
635,Semantic Web,1,2104713579
1951,Virtualization Technology,2,2138608325
377,Distributed Databases,4,2037214271
555,Web Development Technologies,4,2533555125
1005,API Design,5,1996882280
297,Software Engineering,3,1692158061
416,Parallel Computing,2,1843718812
303,Software Engineering,2,2104577574
764,High-Performance Computing,5,3004163403
1298,Visual Analytics,4,1512665638
275,Big Data Analytics,2,2768534111
1667,Object-Oriented Programming,2,2002295687
523,Computer Graphics,4,2030241707
1293,Distributed Databases,3,2066598530
1312,Distributed Databases,1,3004358809
789,Data Structures,5,1546693390
1574,Location-Based Services,1,2070580791
1564,Location-Based Services,3,1906171242
281,Big Data Analytics,1,2606568264
457,Distributed Systems,2,2138247393
1849,Software Testing,3,2077938752
1795,Sensor Networks,3,2099641228
345,Database Systems,3,2044701300
972,Digital Forensics,1,2890279224
1223,Statistical Learning,3,1896827355
18,Natural Language Processing,2,2997522743
789,Embedded Systems,5,2027377876
657,Digital Forensics,1,2102901736
1064,Cloud Data Management,5,2110969836
462,Operating Systems,1,2006816934
187,Big Data Analytics,1,2784123366
401,Parallel Computing,5,2997983633
1057,Mobile Application Development,3,2089872472
206,Cybersecurity,4,2563010877
1068,Database Management Systems,2,1516134969
1510,IT Governance,3,2048367269
1346,Enterprise Resource Planning,2,2104637359
1279,Distributed Databases,5,2033223918
1219,Distributed Databases,4,2169379483
212,Cybersecurity,1,2103078027
681,Operating Systems,2,1968522329
1885,System Dynamics,3,2111657470
676,Operating Systems,2,2083272082
404,Semantic Web,4,1952533158
1077,Cloud Data Management,4,3003862718
1014,API Design,1,2069527335
410,Parallel Computing,3,2086825382
1072,Network Management,2,1572261084
653,Computer Architecture,2,2410170793
795,Embedded Systems,4,2129516068
2006,Web Services,1,1978376483
755,Compiler Design,1,2141677259
1103,Object-Oriented Programming,1,2508302307
158,Augmented Reality,2,2142682167
690,Operating Systems,1,2261344624
370,Database Systems,1,2100587833
830,Database Management Systems,4,1810256132
1960,Visual Analytics,5,2999453632
1201,Data Structures,1,2041315700
1873,Supply Chain Management Systems,4,1991699372
1947,Virtualization Technology,4,2334508133
778,High-Performance Computing,2,2156165081
1124,Content Delivery Networks,5,2093375622
1703,Program Analysis,5,2003295303
1573,Location-Based Services,2,2080575891
928,Graph Algorithms,4,1567397627
1207,Database Management Systems,5,1973322711
512,Mobile Computing,1,2032467855
1482,Information Security,2,2000891179
1318,Web Services,3,2032399648
2018,Workflow Management,5,2031846435
1196,Data Structures,1,1972955159
1638,Network Management,1,2087266659
269,Parallel Computing,3,10141861
1579,Location-Based Services,1,2019021124
429,Semantic Web,1,1855869293
1393,Gesture Recognition,2,2120701504
1285,Distributed Databases,4,2104759957
444,Computer Architecture,1,2004185476
890,Ubiquitous Computing,4,2084453634
1153,Content Delivery Networks,1,3006464855
306,Software Engineering,2,2165043113
1876,Supply Chain Management Systems,3,2896983297
943,Grid Computing,2,1981840935
117,Quantum Computing,2,2011585646
1679,Object-Oriented Programming,1,1968331212
126,Cryptography,1,1490394993
1349,Workflow Management,2,1974752004
1611,Mobile Application Development,1,2947613762
1484,Information Security,2,2069700160
1341,Enterprise Resource Planning,2,3003989615
151,Bioinformatics,3,1497209257
979,IT Governance,4,1989546971
1496,Information Security,1,2072564252
1344,Workflow Management,4,2027860831
780,High-Performance Computing,2,2117134475
82,Computer Vision,2,2986445670
1962,Visual Analytics,4,2063989480
1169,Scientific Computing,1,2981468349
529,Computer Graphics,3,2997712422
168,Algorithm Design,2,2138497439
1544,Location-Based Services,5,2998956236
1270,Distributed Databases,5,3003846636
1284,Visual Analytics,5,2141115795
1561,Location-Based Services,3,2609031099
449,Distributed Systems,3,2155859954
826,Embedded Systems,1,2139613807
1485,Information Security,2,2091494072
1761,Scientific Computing,3,2003167710
1523,Knowledge Discovery,4,2095952922
1926,User Interface Design,4,2075016831
812,Embedded Systems,2,2124778357
878,Green Computing,1,2113752381
945,Graph Algorithms,2,1969678589
1747,Quantitative Analysis,2,2096192494
2066,XML Technologies,1,2014295945
1560,Location-Based Services,3,1972665999
171,Internet of Things,2,1937875679
1435,Health Informatics,5,2121784101
1563,Location-Based Services,3,1504045574
760,High-Performance Computing,5,2070963260
892,Ubiquitous Computing,4,1981066103
1912,Text Analytics,3,2999359281
1705,Program Analysis,5,2014764321
1866,Statistical Learning,2,2107295961
769,High-Performance Computing,3,2159310387
705,Business Intelligence,3,2516918440
1001,Advanced Algorithms,1,2099087967
985,Advanced Algorithms,4,1981833382
499,Mobile Computing,2,2085094300
1613,Mobile Application Development,1,2950422009
1954,Virtualization Technology,1,2089194229
937,Graph Algorithms,3,2064529725
190,Edge Computing,4,2809740924
799,Embedded Systems,4,1981737703
1718,Program Analysis,4,2134875273
29,Information Retrieval,4,2046134527
1465,Information Security,4,2007996913
1659,Object-Oriented Programming,3,2119857670
1081,Cloud Data Management,3,2087434975
1276,Distributed Databases,5,2999124923
1125,Content Delivery Networks,5,2997808910
1361,XML Technologies,4,1993000052
1374,Gesture Recognition,4,2780179792
644,Computational Chemistry,5,2071551353
45,Information Retrieval,1,1987936485
1363,Evolutionary Computation,2,2160186708
1081,Object-Oriented Programming,5,2098794871
1856,Software Testing,2,1880675778
1498,IT Governance,4,2036912108
1375,Gesture Recognition,4,2006347227
671,Operating Systems,3,2124362232
1231,Database Management Systems,2,2028511104
277,Distributed Systems,5,2131053137
486,Mobile Computing,4,2141044623
1475,Information Security,3,2104619000
626,Grid Computing,3,2171063018
544,Game Development,5,2128465582
2051,XML Technologies,4,2076224402
267,Big Data Analytics,4,2505786633
606,Deep Learning,1,2584722588
572,Computational Biology,5,2117625122
1809,Sensor Networks,1,2169854556
1336,Enterprise Resource Planning,3,2084152593
1237,Database Management Systems,1,12586210
788,Embedded Systems,5,2857002357
27,Information Retrieval,1,2068632118
701,Business Intelligence,5,2004707691
63,Data Mining,3,2117769694
695,Digital Signal Processing,3,2109573698
1281,Distributed Databases,4,2148352762
172,Algorithm Design,1,2124208656
652,Computer Architecture,2,2109072691
637,Grid Computing,1,2146660676
1019,API Design,1,2980990204
985,IT Governance,2,2068046153
1353,Enterprise Resource Planning,1,2162505149
984,Advanced Algorithms,4,2010380803
113,Augmented Reality,2,2056219499
1157,Risk Management Systems,2,2165014051
1680,Object-Oriented Programming,1,2022373880
52,Computer Vision,3,1997568160
2023,Workflow Management,4,2038953226
953,Health Informatics,5,2437797956
774,High-Performance Computing,3,2997024469
1107,Computational Finance,4,1511144579
814,Embedded Systems,2,2032297914
1993,Web Services,4,2105479013
1669,Object-Oriented Programming,2,2997723471
565,Game Development,1,2143023149
95,Human-Computer Interaction,4,1551405263
711,Business Intelligence,1,2228481026
994,Advanced Algorithms,1,2093083775
934,Graph Algorithms,3,2739409954
1980,Visual Analytics,2,2092900780
173,Internet of Things,1,1935270628
844,E-commerce Technology,2,2157773089
365,Database Systems,1,2126884704
9,Natural Language Processing,4,3003381251
1024,Autonomous Systems,5,2999949926
1734,Program Analysis,2,2112962899
803,Embedded Systems,3,2146352293
989,Advanced Algorithms,3,2139587756
515,Computer Graphics,5,2996879375
205,Cybersecurity,4,2158894011
187,Cloud Computing,1,2019672983
496,Mobile Computing,3,1984618215
541,Computer Graphics,2,2065971650
1521,Knowledge Discovery,4,2997333261
1242,Database Management Systems,1,2065241227
632,Grid Computing,2,2072886595
1203,Database Management Systems,5,2120052337
1110,Online Learning Environments,2,2891942262
884,Enterprise Resource Planning,2,1481223100
1615,Network Management,5,2150093579
1865,Statistical Learning,3,2135498906
1783,Sensor Networks,4,2053089950
1647,Object-Oriented Programming,4,2107515271
2014,Workflow Management,5,2044536393
1887,System Dynamics,2,2150086489
214,Database Systems,4,1984288101
362,Database Systems,1,2094320135
487,Mobile Computing,4,2060189343
1732,Program Analysis,3,1977541831
1882,Supply Chain Management Systems,2,2053658073
907,Ubiquitous Computing,2,1969674365
2069,XML Technologies,1,2151131448
2061,XML Technologies,3,2134220710
1430,Graph Algorithms,1,2114715970
100,Human-Computer Interaction,3,2060850044
1251,Text Analytics,3,2803549048
847,E-commerce Technology,1,2060553764
1626,Network Management,3,2963241379
59,Data Mining,5,2028317382
2043,Workflow Management,1,2140440653
1391,Gesture Recognition,2,2123182584
800,Data Structures,3,2111446139
1713,Program Analysis,5,2146528052
1349,Enterprise Resource Planning,1,2065143793
133,Virtual Reality,5,2294011098
1020,Location-Based Services,4,2056773559
1070,Cloud Data Management,5,2120113879
481,Compiler Design,3,1744486668
1710,Program Analysis,5,2134633067
1093,Cloud Data Management,1,2073786307
1299,Distributed Databases,2,3003285672
649,Computer Architecture,3,2045489820
838,E-commerce Technology,5,1970306167
20,Natural Language Processing,1,2098750402
1127,Content Delivery Networks,5,2075511564
353,Game Development,4,2027312037
317,Software Engineering,1,2105246013
473,Distributed Systems,1,2131929623
56,Computer Vision,1,2010016312
1687,Online Learning Environments,3,2162970209
736,Compiler Design,3,1991570511
35,Information Retrieval,3,1995496265
1446,Health Informatics,2,2015070205
790,Embedded Systems,5,2120562931
1033,Autonomous Systems,3,2080507667
465,Digital Signal Processing,3,1885706698
243,Algorithm Design,5,2797204974
1950,Virtualization Technology,3,2022948306
1263,Discrete Mathematics,1,2094594266
361,Database Systems,1,2074095926
615,Reinforcement Learning,2,2145339207
1176,Data Structures,4,2078755699
1994,Web Services,4,1990431387
379,Network Security,4,1968909445
170,Internet of Things,3,2945730492
2004,Web Services,2,2160943260
1199,Data Structures,1,2504609973
926,Grid Computing,5,2037476089
1048,Business Intelligence,5,2003584736
1159,Content Delivery Networks,1,1520759045
178,Internet of Things,1,2037395587
75,Human-Computer Interaction,1,238919717
1744,Quantitative Analysis,4,2112594421
1086,Cloud Data Management,2,2752034591
1164,Scientific Computing,2,1984840642
430,Semantic Web,1,1595923458
2013,Workflow Management,5,2999660919
702,Business Intelligence,5,2167608769
1042,Machine Intelligence,2,2166400110
1304,Distributed Databases,2,2997611764
405,Web Services,3,1952533158
1032,Location-Based Services,1,2159320012
1812,Sensor Networks,1,1733162348
1022,Location-Based Services,3,182697965
1948,Virtualization Technology,4,2140902124
206,Software Engineering,1,2145805842
773,Content Delivery Networks,4,2145492996
1018,API Design,1,2965143859
776,Content Delivery Networks,3,2115030737
384,Network Security,3,2030014066
412,Semantic Web,3,1479764148
1325,Web Services,2,2160375412
1569,Location-Based Services,2,2080124030
425,Parallel Computing,1,2027440172
1834,Software Quality Assurance,1,2068341588
1779,Sensor Networks,5,1848594422
274,Big Data Analytics,2,2399806216
1623,Network Management,3,1997748289
1016,API Design,1,2401310007
574,Green Computing,1,2765343297
347,Database Systems,2,2996774900
1250,Text Analytics,3,2148893894
278,Distributed Systems,5,2341428273
1437,Health Informatics,4,2129523281
1050,Business Intelligence,5,1965102537
727,Compiler Design,4,3007181776
1015,API Design,1,1998342376
409,Parallel Computing,4,2153777299
621,Semantic Web,4,2101491706
144,Robotics,3,2115579991
898,Ubiquitous Computing,3,2511346379
1065,Cloud Data Management,5,2894446939
1028,Location-Based Services,2,1985943329
1599,Mobile Application Development,4,2023636027
579,Ubiquitous Computing,5,2018294601
885,Ubiquitous Computing,5,2997080072
848,Web Development Technologies,5,2133285598
1425,Graph Algorithms,2,2523378841
1657,Object-Oriented Programming,3,2065452689
1137,Content Delivery Networks,4,2141301189
1976,Visual Analytics,2,2071949039
1097,Cloud Data Management,1,2180737804
1508,IT Governance,3,1994380029
1933,User Interface Design,2,2021551615
392,Reinforcement Learning,4,2749604329
1909,Text Analytics,4,2132068911
146,Virtual Reality,1,2072639055
966,Digital Forensics,2,2059951390
341,Computer Graphics,1,2102476922
1452,Information Security,5,2999305325
1091,Cloud Data Management,2,1991986748
393,Network Security,1,2149776446
1087,Cloud Data Management,2,1998282059
750,Compiler Design,1,2157828735
902,Ubiquitous Computing,3,2149454076
